"col0","col1","col2","col3","col4","col5","col6"
"data",0,1,6644,6644,"channel_poll_cb","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
"data",0,2,2829,2829,"vwl_data_device_listener_event_finished","/home/runner/work/vim/vim/src/clipboard.c"
"data",0,3,383,383,"wl_registry_listener_event_global_remove","/home/runner/work/vim/vim/src/wayland.c"
"data",0,3,392,392,"xdg_wm_base_listener_event_ping","/home/runner/work/vim/vim/src/wayland.c"
"data",0,3,2596,2596,"xdg_surface_listener_configure","/home/runner/work/vim/vim/src/clipboard.c"
"data",0,3,2771,2771,"wl_data_offer_listener_event_offer","/home/runner/work/vim/vim/src/clipboard.c"
"data",0,3,2789,2789,"vwl_data_device_listener_event_data_offer","/home/runner/work/vim/vim/src/clipboard.c"
"data",0,4,2632,2632,"clip_wl_fs_keyboard_listener_repeat_info","/home/runner/work/vim/vim/src/clipboard.c"
"data",0,4,2632,2632,"clip_wl_fs_keyboard_listener_leave","/home/runner/work/vim/vim/src/clipboard.c"
"data",0,4,2799,2799,"vwl_data_device_listener_event_selection","/home/runner/work/vim/vim/src/clipboard.c"
"data",0,5,2632,2632,"clip_wl_fs_keyboard_listener_keymap","/home/runner/work/vim/vim/src/clipboard.c"
"data",0,6,2632,2632,"clip_wl_fs_keyboard_listener_key","/home/runner/work/vim/vim/src/clipboard.c"
"data",0,7,2632,2632,"clip_wl_fs_keyboard_listener_modifiers","/home/runner/work/vim/vim/src/clipboard.c"
"data",1,2,594,594,"im_preedit_start_cb","/home/runner/work/vim/vim/src/gui_xim.c"
"data",1,2,610,610,"im_preedit_end_cb","/home/runner/work/vim/vim/src/gui_xim.c"
"data",1,2,671,671,"im_preedit_changed_cb","/home/runner/work/vim/vim/src/gui_xim.c"
"data",1,2,2728,2728,"mainwin_realize","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
"data",1,2,2890,2890,"drawarea_realize_cb","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
"data",1,2,2931,2931,"drawarea_unrealize_cb","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
"data",1,2,2974,2974,"drawarea_style_updated_cb","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
"data",1,2,4356,4356,"mainwin_destroy_cb","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
"data",1,2,4878,4878,"vterm_malloc","/home/runner/work/vim/vim/src/terminal.c"
"data",1,2,4885,4885,"vterm_memfree","/home/runner/work/vim/vim/src/terminal.c"
