called,args,parent,file
apply_autocmds_retval,6,open_buffer,/home/runner/work/vim/vim/src/buffer.c
apply_autocmds_retval,6,read_buffer,/home/runner/work/vim/vim/src/buffer.c
check_secure,0,f_server2client,/home/runner/work/vim/vim/src/clientserver.c
check_secure,0,f_remote_read,/home/runner/work/vim/vim/src/clientserver.c
check_secure,0,remote_common,/home/runner/work/vim/vim/src/clientserver.c
copy_option_part,4,cin_isscopedecl,/home/runner/work/vim/vim/src/cindent.c
copy_option_part,4,cin_is_cinword,/home/runner/work/vim/vim/src/cindent.c
set_var,3,remote_common,/home/runner/work/vim/vim/src/clientserver.c
ml_replace,3,append_to_buffer,/home/runner/work/vim/vim/src/channel.c
ml_get_curline,0,cin_iswhileofdo_end,/home/runner/work/vim/vim/src/cindent.c
ml_get_curline,0,cin_iswhileofdo,/home/runner/work/vim/vim/src/cindent.c
ml_get_curline,0,cin_first_id_amount,/home/runner/work/vim/vim/src/cindent.c
ml_get_curline,0,skip_label,/home/runner/work/vim/vim/src/cindent.c
ml_get_curline,0,cin_isinit,/home/runner/work/vim/vim/src/cindent.c
ml_get_curline,0,cin_islabel,/home/runner/work/vim/vim/src/cindent.c
get_indent,0,skip_label,/home/runner/work/vim/vim/src/cindent.c
unchanged,3,open_buffer,/home/runner/work/vim/vim/src/buffer.c
unchanged,3,read_buffer,/home/runner/work/vim/vim/src/buffer.c
getvcol,5,cin_get_equal_amount,/home/runner/work/vim/vim/src/cindent.c
getvcol,5,cin_first_id_amount,/home/runner/work/vim/vim/src/cindent.c
getvcol,5,get_indent_nolabel,/home/runner/work/vim/vim/src/cindent.c
save_file_ff,1,open_buffer,/home/runner/work/vim/vim/src/buffer.c
appended_lines_mark,2,append_to_buffer,/home/runner/work/vim/vim/src/channel.c
changed,0,open_buffer,/home/runner/work/vim/vim/src/buffer.c
changed,0,read_buffer,/home/runner/work/vim/vim/src/buffer.c
call_callback,5,invoke_callback,/home/runner/work/vim/vim/src/channel.c
free_callback,1,invoke_one_time_callback,/home/runner/work/vim/vim/src/channel.c
check_restricted,0,f_server2client,/home/runner/work/vim/vim/src/clientserver.c
check_restricted,0,f_remote_read,/home/runner/work/vim/vim/src/clientserver.c
check_restricted,0,remote_common,/home/runner/work/vim/vim/src/clientserver.c
check_for_string_arg,2,f_server2client,/home/runner/work/vim/vim/src/clientserver.c
check_for_string_arg,2,f_remote_send,/home/runner/work/vim/vim/src/clientserver.c
check_for_string_arg,2,f_remote_read,/home/runner/work/vim/vim/src/clientserver.c
cin_iscase,2,skip_label,/home/runner/work/vim/vim/src/cindent.c
cin_iscase,2,after_label,/home/runner/work/vim/vim/src/cindent.c
cin_iscase,2,cin_islabel,/home/runner/work/vim/vim/src/cindent.c
cin_isscopedecl,1,skip_label,/home/runner/work/vim/vim/src/cindent.c
cin_isscopedecl,1,cin_islabel,/home/runner/work/vim/vim/src/cindent.c
cin_islabel,0,skip_label,/home/runner/work/vim/vim/src/cindent.c
vim_iswordc,1,cin_is_cpp_extern_c,/home/runner/work/vim/vim/src/cindent.c
vim_iswordc,1,cin_is_cpp_namespace,/home/runner/work/vim/vim/src/cindent.c
vim_iswordc,1,cin_is_cinword,/home/runner/work/vim/vim/src/cindent.c
gettimeofday,2,channel_parse_json,/home/runner/work/vim/vim/src/channel.c
find_start_rawstring,1,ind_find_start_CORS,/home/runner/work/vim/vim/src/cindent.c
cin_islinecomment,1,find_line_comment,/home/runner/work/vim/vim/src/cindent.c
cin_iscomment,1,cin_isfuncdecl,/home/runner/work/vim/vim/src/cindent.c
cin_iscomment,1,cin_skip2pos,/home/runner/work/vim/vim/src/cindent.c
cin_iscomment,1,cin_get_equal_amount,/home/runner/work/vim/vim/src/cindent.c
get_indent_lnum,1,cin_ispreproc_cont,/home/runner/work/vim/vim/src/cindent.c
channel_write_input,1,channel_write_any_lines,/home/runner/work/vim/vim/src/channel.c
find_match_char,2,find_match_paren,/home/runner/work/vim/vim/src/cindent.c
find_match_paren,1,cin_iswhileofdo_end,/home/runner/work/vim/vim/src/cindent.c
find_match_paren,1,cin_isfuncdecl,/home/runner/work/vim/vim/src/cindent.c
cin_nocode,1,cin_iswhileofdo_end,/home/runner/work/vim/vim/src/cindent.c
cin_nocode,1,cin_isfuncdecl,/home/runner/work/vim/vim/src/cindent.c
cin_nocode,1,cin_get_equal_amount,/home/runner/work/vim/vim/src/cindent.c
cin_nocode,1,cin_first_id_amount,/home/runner/work/vim/vim/src/cindent.c
cin_nocode,1,cin_is_compound_init,/home/runner/work/vim/vim/src/cindent.c
cin_nocode,1,cin_ends_in,/home/runner/work/vim/vim/src/cindent.c
cin_nocode,1,cin_islabel,/home/runner/work/vim/vim/src/cindent.c
cin_nocode,1,cin_isterminated,/home/runner/work/vim/vim/src/cindent.c
tv_get_string_buf,2,remote_common,/home/runner/work/vim/vim/src/clientserver.c
ind_find_start_CORS,1,find_match_char,/home/runner/work/vim/vim/src/cindent.c
ind_find_start_CORS,1,cin_islabel,/home/runner/work/vim/vim/src/cindent.c
findmatchlimit,4,cin_iswhileofdo,/home/runner/work/vim/vim/src/cindent.c
findmatchlimit,4,find_match_char,/home/runner/work/vim/vim/src/cindent.c
findmatchlimit,4,find_start_rawstring,/home/runner/work/vim/vim/src/cindent.c
findmatchlimit,4,find_start_comment,/home/runner/work/vim/vim/src/cindent.c
json_encode_nr_expr,3,channel_exe_cmd,/home/runner/work/vim/vim/src/channel.c
free_tv,1,channel_exe_cmd,/home/runner/work/vim/vim/src/channel.c
ml_get_pos,1,cin_iswhileofdo,/home/runner/work/vim/vim/src/cindent.c
channel_send,5,channel_exe_cmd,/home/runner/work/vim/vim/src/channel.c
channel_send,5,channel_write_input,/home/runner/work/vim/vim/src/channel.c
find_last_paren,3,cin_isfuncdecl,/home/runner/work/vim/vim/src/cindent.c
cin_iselse,1,cin_isterminated,/home/runner/work/vim/vim/src/cindent.c
ch_log_active,0,channel_save,/home/runner/work/vim/vim/src/channel.c
ch_log_literal,5,channel_save,/home/runner/work/vim/vim/src/channel.c
cin_isterminated,3,cin_islabel,/home/runner/work/vim/vim/src/cindent.c
get_indent_nolabel,1,skip_label,/home/runner/work/vim/vim/src/cindent.c
after_label,1,skip_label,/home/runner/work/vim/vim/src/cindent.c
after_label,1,get_indent_nolabel,/home/runner/work/vim/vim/src/cindent.c
foldUpdateAll,1,open_buffer,/home/runner/work/vim/vim/src/buffer.c
open_buffer,3,buffer_ensure_loaded,/home/runner/work/vim/vim/src/buffer.c
channel_peek,2,channel_parse_json,/home/runner/work/vim/vim/src/channel.c
channel_first_nl,1,channel_collapse,/home/runner/work/vim/vim/src/channel.c
u_sync,1,append_to_buffer,/home/runner/work/vim/vim/src/channel.c
channel_get,3,drop_messages,/home/runner/work/vim/vim/src/channel.c
channel_get,3,channel_parse_json,/home/runner/work/vim/vim/src/channel.c
channel_get,3,channel_get_all,/home/runner/work/vim/vim/src/channel.c
cin_skipcomment,1,cin_iswhileofdo_end,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,cin_iswhileofdo,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,cin_isfuncdecl,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,find_last_paren,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,cin_skip2pos,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,cin_get_equal_amount,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,after_label,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,cin_is_cpp_extern_c,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,cin_is_cpp_namespace,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,cin_isinit,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,cin_is_compound_init,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,cin_skip_comment_and_string,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,cin_ends_in,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,cin_islabel,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,cin_iscase,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,cin_isdefault,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,cin_isterminated,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,cin_iselse,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,cin_isscopedecl,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,cin_islabel_skip,/home/runner/work/vim/vim/src/cindent.c
cin_skipcomment,1,cin_has_js_key,/home/runner/work/vim/vim/src/cindent.c
